ID,Evacuate,KnowEstab,SLRPers,SSDPers,ARelocate,Aprotect,ANoRecover,PCUnexp,PCAbleMov,PCNoRecov,Age_Cat,Hincome,Education,NotHS,HS,SomeCollege,AssocVoc,Bach,SomeGrad,Grad,Ethnicity,White,Hispanic,Afam,Other,HomeLang,EngOnly,EngPrim,EngSec,EngNot,FldRisk,Gender,Female
291,2,-1,0,2,0,-1,1,-1,1,-1,3,7,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,3,1,1
236,3,-2,0,2,-1,0,1,1,1,-2,2,2,4,0,0,0,1,0,0,0,3,0,0,1,0,1,1,0,0,0,3,1,1
98,2,-1,0,1,-1,1,1,-1,1,-1,3,3,5,0,0,0,0,1,0,0,1,1,0,0,0,2,0,1,0,0,3,1,1
293,2,0,1,2,0,0,1,0,0,-1,4,4,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,3,2,0
209,3,1,-2,1,-2,-2,-1,0,1,2,4,7,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,3,2,0
331,4,-1,-2,-2,-2,1,-2,-2,1,0,2,3,3,0,0,1,0,0,0,0,2,0,1,0,0,2,0,1,0,0,3,1,1
358,2,1,0,1,-2,2,-2,0,1,1,4,4,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,3,2,0
333,2,0,-1,0,-1,-1,-2,-1,2,0,4,4,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,3,2,0
303,3,1,0,1,0,1,-1,-1,1,1,4,1,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,3,1,1
161,3,-1,2,-1,0,0,-1,0,1,1,4,4,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,2,2,0
166,2,0,0,1,-1,-1,0,0,-1,-1,2,2,5,0,0,0,0,1,0,0,3,0,0,1,0,1,1,0,0,0,3,1,1
341,1,-1,-2,0,-1,1,-1,-1,0,1,4,5,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,2,2,0
350,2,-1,2,1,-2,1,-2,-2,1,1,2,6,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,2,1,1
115,2,1,2,-1,-1,1,-1,1,1,0,1,5,2,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,1,1
144,1,2,0,2,0,2,2,1,2,1,2,1,2,0,1,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,3,2,0
89,1,0,2,1,-2,1,-1,-1,1,1,4,6,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,3,2,0
31,2,1,-1,0,-2,1,-2,0,2,2,3,3,4,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,3,1,1
199,2,-2,0,1,0,0,-1,0,1,1,2,5,5,0,0,0,0,1,0,0,6,0,0,0,1,1,1,0,0,0,3,1,1
315,2,-2,0,1,1,0,-1,-2,2,1,1,1,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,3,3,0
238,3,1,2,-1,-2,0,-1,-1,1,1,2,6,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,3,1,1
281,2,0,-1,1,-1,1,0,0,0,1,3,5,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,2,2,0
94,2,1,1,2,0,1,1,1,0,1,2,4,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,3,1,1
112,2,1,-2,2,-1,1,-1,0,1,1,3,3,4,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,3,1,1
255,2,0,-1,2,-1,0,0,-1,2,-1,3,3,6,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,3,1,1
61,3,2,1,2,1,2,-1,2,2,2,2,6,5,0,0,0,0,1,0,0,8,0,0,0,1,1,1,0,0,0,3,2,0
332,1,-1,0,1,-2,1,1,0,0,-1,3,2,4,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,2,1,1
154,1,1,2,-1,-2,2,-1,-1,-1,2,3,4,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,3,1,1
268,3,0,1,2,-1,1,-1,0,2,1,3,7,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,3,2,0
305,2,-2,1,1,-1,0,0,-1,1,0,2,3,3,0,0,1,0,0,0,0,2,0,1,0,0,2,0,1,0,0,3,2,0
55,2,1,0,1,-2,1,-1,0,0,1,2,3,6,0,0,0,0,0,1,0,8,0,0,0,1,2,0,1,0,0,2,1,1
128,3,1,0,1,-2,2,2,-2,2,-2,1,4,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,1,1
30,4,1,0,1,-1,1,-1,1,1,1,2,7,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1
197,2,-2,2,0,-2,0,-1,1,-1,1,1,1,2,0,1,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,2,1,1
357,1,1,0,1,0,0,1,-1,1,-1,4,6,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
1,3,0,1,1,1,0,1,-1,2,0,2,6,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
63,2,-2,-2,-2,-2,-1,1,-2,2,2,2,2,5,0,0,0,0,1,0,0,3,0,0,1,0,1,1,0,0,0,1,1,1
2,1,1,0,2,2,0,0,1,1,2,3,1,1,1,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,3,1,1
57,1,1,1,1,0,1,0,1,1,2,3,1,1,1,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,3,1,1
146,2,0,-1,2,2,0,1,1,0,0,2,2,2,0,1,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,3,1,1
351,3,1,0,1,1,1,2,1,1,1,1,2,7,0,0,0,0,0,0,1,3,0,0,1,0,1,1,0,0,0,3,1,1
241,2,0,-2,1,-1,1,-1,-2,1,1,2,5,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1
311,2,-2,0,1,0,0,0,1,2,0,1,2,3,0,0,1,0,0,0,0,8,0,0,0,1,2,0,1,0,0,2,1,1
205,3,0,0,2,1,1,0,0,1,0,2,6,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,2,1,1
160,3,0,-1,0,-1,1,0,0,0,-1,3,5,7,0,0,0,0,0,0,1,8,0,0,0,1,3,0,0,1,0,3,2,0
224,1,1,1,2,-1,1,-1,1,-1,-1,2,4,4,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
316,3,1,0,2,1,0,1,2,-1,2,2,3,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,3,1,1
131,3,-1,0,1,-1,0,-1,1,0,1,2,4,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,1,1
147,1,0,0,1,0,0,0,0,1,0,4,7,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,3,1,1
171,2,0,-1,1,-2,1,0,-1,1,-1,2,5,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,3,2,0
135,2,1,-1,-1,-2,2,-2,-1,1,1,2,4,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,2,1,1
5,3,1,0,1,-1,1,2,0,-1,-2,3,3,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,1,1
106,2,1,2,1,0,0,2,-1,0,0,2,5,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,2,1,1
3,3,0,0,2,2,2,2,0,-1,-2,3,1,3,0,0,1,0,0,0,0,3,0,0,1,0,1,1,0,0,0,3,1,1
105,2,-1,2,-1,-1,0,0,1,0,1,2,6,1,1,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,1,2,0
