GISJOIN,COUNTYA,TRACTA,BLKGRPA,PUnder5,PUnder18,POver65,PAfam,PNonWhite,PHisp,PNoDiploma,PCollegePlus,PPov,PRenter,MedValue,PerCapInc,PMobHom
G13005100042085,51,4208,5,0.059299191,0.197663971,0.053908356,0.479784367,0.554357592,0.154537287,0.095238095,1.723684211,0.1484375,1,,16704,0
G13005100042091,51,4209,1,0.07807417,0.145087833,0.098243331,0.364996747,0.411190631,0.031880286,0.055765595,1.175965665,0.166407465,0.780715397,150400,23920,0
G13005100042092,51,4209,2,0.09296875,0.27578125,0,0.56015625,0.846875,0.1609375,0.204702628,0.836538462,0.424408015,1,,14028,0
G13005100042093,51,4209,3,0.035460993,0.14893617,0.212765957,0.49822695,0.49822695,0.014184397,0.08988764,0.647058824,0.207612457,0.307958478,144600,33195,0
G13005100042101,51,4210,1,0,0.04028436,0.035545024,0.511848341,0.8507109,0.075829384,0,2.561403509,0.277777778,1,,19245,0.045833333
G13005100042102,51,4210,2,0.135003054,0.296273671,0.083689676,0.686010996,0.691508858,0.148442272,0.127946128,0.513661202,0.333996024,0.65805169,127400,15167,0
G13005100042103,51,4210,3,0.0729237,0.240378123,0.076299797,0.464550979,0.569209993,0.113436867,0.149948294,0.89047619,0.126415094,0.488679245,114700,19931,0
G13005100042104,51,4210,4,0.02872777,0.192202462,0.095759234,0.482216142,0.5,0.017783858,0.161290323,0.707964602,0.278985507,0.740942029,200300,18981,0
G13005100042111,51,4211,1,0.115577889,0.26758794,0.087939698,0.73241206,0.753768844,0.021356784,0.182795699,1.623376623,0.193370166,0.759668508,88200,19761,0
G13005100042112,51,4211,2,0.089234312,0.359240069,0.15716753,0.259067358,0.266551526,0.097869891,0.082191781,0.921161826,0.232774674,0.266294227,110100,15672,0
G13005100042113,51,4211,3,0.074704142,0.26035503,0.107248521,0.549556213,0.613905325,0.021449704,0.078457447,0.56928839,0.077306733,0.246882793,120100,18270,0.019693654
G13005100042114,51,4211,4,0.057446809,0.073758865,0.260283688,0.161702128,0.207092199,0.011347518,0.133716161,1.126315789,0.032846715,0.03649635,160700,27378,0
G13005100042121,51,4212,1,0.021406728,0.108423686,0.052543786,0.305254379,0.398387545,0.065054212,0.036445013,1.083503055,0.129196338,0.619532045,128500,16475,0
G13005100042122,51,4212,2,0.075104312,0.369958275,0.173852573,0.360222531,0.365090403,0.100834492,0.112268519,3.07,0.045174538,0.160164271,161300,20468,0
G13005100042123,51,4212,3,0.083887043,0.259136213,0.231727575,0.188538206,0.209302326,0.043189369,0.064638783,2.227586207,0.11778291,0.03926097,197300,28777,0
G13005100043001,51,4300,1,0.136849871,0.354112873,0.028402803,0.216894135,0.273699742,0.16894135,0.083838384,1.166666667,0.106115108,1,,16375,0.019769357
G13005100044001,51,4400,1,0.097402597,0.320616883,0.102272727,0.944805195,0.956168831,0.025162338,0.193820225,0.22310757,0.447537473,0.815845824,83500,12335,0
G13005100044002,51,4400,2,0.052036199,0.201357466,0.160633484,0.989819005,0.989819005,0,0.187817259,0.275229358,0.141414141,0.505050505,91000,14144,0.036827195
G13005100045001,51,4500,1,0.066546763,0.253597122,0.188848921,0.803956835,0.803956835,0,0.074850299,0.553571429,0.203389831,0.536723164,55300,16977,0.344262295
G13005100045002,51,4500,2,0.06920078,0.298245614,0.167641326,0.967836257,0.967836257,0.064327485,0.436666667,0,0.367588933,0.339920949,73700,9982,0.057534247
G13005100045003,51,4500,3,0.054072096,0.282376502,0.146194927,0.974632844,0.974632844,0,0.186597938,1.085427136,0.288381743,0.296680498,101600,14972,0
G13005100045004,51,4500,4,0.01104503,0.075615973,0.356839422,1,1,0,0.186284545,1.923076923,0.233663366,0.24950495,115900,17136,0.047169811
G13005100101011,51,10101,1,0.26039783,0.607594937,0.005424955,0.962025316,0.962025316,0,0.192592593,0,0.806060606,1,,2227,0.051162791
G13005100101012,51,10101,2,0.027624309,0.060773481,0.359116022,0,0,0.011049724,0,5.857142857,0.086956522,0.114130435,361400,49453,0
G13005100101021,51,10102,1,0.113614104,0.196865818,0.083251714,0.056807052,0.179236043,0.193927522,0.199445983,0.853403141,0.124688279,0.633416459,147300,25006,0.315662651
G13005100101022,51,10102,2,0.059907834,0.194206715,0.04279131,0.669519421,0.685977617,0.008558262,0.032388664,2.114285714,0.168918919,0.543918919,174000,13595,0
G13005100101023,51,10102,3,0.032999411,0.142604596,0.189157336,0.502651738,0.509723041,0.022392457,0.049615056,1.473880597,0.074204947,0.330388693,166000,26978,0
G13005100102001,51,10200,1,0.129223474,0.2910492,0.171902786,0.532898637,0.570243035,0,0.18079096,2.865248227,0.057416268,0.148325359,246300,25200,0
G13005100102002,51,10200,2,0.045077106,0.257413998,0.059905101,0.639976275,0.639976275,0.006524318,0.057220708,0.828178694,0.282012195,0.365853659,115200,19219,0.016973126
G13005100102003,51,10200,3,0.104659014,0.273463876,0.138419986,0.198514517,0.198514517,0.066171506,0.072869955,1.582089552,0.16091954,0.409961686,197600,23319,0
G13005100105011,51,10501,1,0.205069124,0.534562212,0.021889401,0.258064516,0.744239631,0.578341014,0.296703297,0.107981221,0.520912548,0.707224335,35900,8386,0.877622378
G13005100105012,51,10501,2,0.263041065,0.51609323,0.032186459,0,0.113207547,0.889012209,0.604215457,0,0.306010929,0.278688525,,8413,0.426229508
G13005100105013,51,10501,3,0.076093654,0.174676525,0.047751078,0.274491682,0.33887862,0.15280345,0.160936008,1.738419619,0.372222222,0.896296296,109100,20472,0.242476354
G13005100105014,51,10501,4,0,0.354477612,0.072761194,0.264925373,0.264925373,0,0.043352601,0.097222222,0.425837321,0.622009569,,18721,0.653594771
G13005100105015,51,10501,5,0.189285714,0.189285714,0.096428571,0.2,0.2,0.198214286,0.123493976,0.122641509,0.406392694,0.648401826,183900,16912,0.521551724
G13005100105021,51,10502,1,0.083423619,0.460455038,0.030335861,0.72156013,0.751895991,0.020585049,0.134703196,0.122137405,0.448571429,0.928571429,97900,10315,0.145679012
G13005100105022,51,10502,2,0.04038893,0.257292446,0.125280479,0.763275991,0.763275991,0,0.093632959,0.555360281,0.147058824,0.396008403,150700,17869,0.033676333
G13005100106011,51,10601,1,0,0.091690544,0.35243553,0.094555874,0.094555874,0,0.072555205,0.336633663,0.181208054,0.181208054,135600,28074,0.375838926
G13005100106012,51,10601,2,0.012782694,0.271386431,0.150442478,0.060963618,0.071779744,0.043264503,0.168103448,1.032258065,0.089108911,0.319306931,128900,20387,0.056930693
G13005100106013,51,10601,3,0,0,0.123543124,0.226107226,0.417249417,0.121212121,0.339473684,2.076923077,0.134615385,0.572115385,109900,25715,0.25
G13005100106014,51,10601,4,0.017857143,0.109693878,0.256377551,0.635204082,0.635204082,0,0.124193548,0.183006536,0.260479042,0.670658683,101200,19438,0
G13005100106015,51,10601,5,0.113233288,0.297407913,0.177353342,0.94952251,0.94952251,0.05047749,0.090517241,0.267759563,0.278787879,0.927272727,,13228,0.060301508
G13005100106016,51,10601,6,0.140522876,0.208061002,0.105664488,0.449891068,0.449891068,0.467320261,0.13036566,0.13362069,0.195364238,0.698675497,,15315,0.345132743
G13005100106031,51,10603,1,0.069020867,0.179775281,0.163188871,0.532905297,0.54788657,0.017121455,0.194645441,0.519138756,0.150857143,0.738285714,137200,25319,0.007534984
G13005100106051,51,10605,1,0,0,0,0,0,0,0,0,0,1,,,0
G13005100107001,51,10700,1,0.097801133,0.25661956,0.049079129,0.409213816,0.494311515,0.087342483,0.068611027,2.896764253,0.04361874,0.423850786,185200,32066,0.086680224
G13005100107002,51,10700,2,0.136363636,0.213903743,0.044117647,0,0,0.132352941,0.076655052,0.596858639,0.106109325,0.205787781,78100,19231,0.014245014
G13005100107003,51,10700,3,0.060029283,0.165446559,0.409956076,0.048316252,0.048316252,0,0.310756972,0.014545455,0.209486166,0.209486166,125500,12686,0
G13005100108011,51,10801,1,0.063432836,0.218656716,0.147014925,0.096268657,0.120149254,0.032089552,0.090715048,1.133333333,0.115537849,0.284860558,158200,25278,0.141623489
G13005100108012,51,10801,2,0.111195735,0.203351104,0.111195735,0.083777609,0.083777609,0.058644326,0.122358176,0.300505051,0.03777336,0.427435388,106500,22268,0.226937269
G13005100108021,51,10802,1,0.11010929,0.281693989,0.094808743,0.349590164,0.394672131,0.04726776,0.043003254,3.798586572,0.072152886,0.419656786,178100,34392,0.023725212
G13005100108022,51,10802,2,0.108187135,0.218810916,0.069688109,0.038011696,0.053118908,0.005847953,0.294117647,0.235546039,0.088379705,0.139116203,117800,27769,0.26504298
G13005100108031,51,10803,1,0.007788162,0.049065421,0.246884735,0,0.028037383,0,0.08487395,0.983561644,0.065767285,0.065767285,188500,34415,0
G13005100108032,51,10803,2,0.075060533,0.265133172,0.284503632,0,0,0,0.126984127,0.332191781,0,0.272727273,97000,19308,0.13368984
G13005100108033,51,10803,3,0.098916302,0.338021674,0.084159557,0.217661978,0.257320729,0.090154485,0.058912387,1.146788991,0.141540487,0.453587887,181600,24043,0.252095422
G13005100108034,51,10803,4,0.10465604,0.295092282,0.092281879,0.41988255,0.446937919,0.015939597,0.081914552,1.140298507,0.077303649,0.158936302,154300,24229,0.037724181
G13005100108061,51,10806,1,0.106467662,0.22039801,0.182089552,0.294527363,0.38159204,0.022885572,0,1.610119048,0.08516129,0.465806452,200000,38814,0
G13005100108062,51,10806,2,0,0.219373219,0.014245014,0.34045584,0.477207977,0.074074074,0.13618677,2.426470588,0.271341463,0.606707317,176100,23066,0.026737968
G13005100108063,51,10806,3,0.072932331,0.179699248,0.014285714,0.094736842,0.165413534,0.081954887,0.033333333,0.710280374,0.23923445,0.471291866,149400,19077,0.041904762
G13005100108064,51,10806,4,0.087532024,0.218189582,0.019641332,0.481212639,0.530742955,0.088385995,0.087927425,0.535353535,0.11370882,0.803400638,135700,26786,0.012093023
G13005100108071,51,10807,1,0.036571851,0.236424086,0.150720355,0.256741781,0.340598448,0.090136683,0.043985162,2.870722433,0.069640914,0.290533188,188600,27130,0
G13005100108072,51,10807,2,0,0.277591973,0,0.304347826,0.387959866,0,0,8.333333333,0,0,308900,28222,0.216216216
G13005100108073,51,10807,3,0.098009188,0.226646248,0.026544155,0.394078612,0.430832057,0.102092905,0.056994819,1.567901235,0.122424242,0.722424242,164300,27207,0.131130064
